Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 288.2
0   0.198   0   0   
1   0.195   0   0.001   
2   0.191   0   0.001   
3   0.189   0   0.000   
4   0.185   0   0.000   
5   0.183   0.000   0.000   
6   0.181   0   0.002   
7   0.177   0   0.001   
8   0.176   0   0.001   
9   0.174   0.000   0.002   
10  0.172   0.002   0.003   
11  0.170   0.000   0.002   
12  0.168   0   0.003   
13  0.167   0   0.004   
14  0.165   0.000   0.004   
15  0.165   0   0.005   
16  0.164   0   0.005   
17  0.162   0.001   0.006   
18  0.162   0.000   0.007   
19  0.161   0.000   0.005   
500 0.071   0   0.113
