Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.202   0.001   0   
43  0.127   0   0.034   
86  0.107   0   0.061   
129 0.092   0   0.080   
172 0.082   0   0.094   
215 0.073   0   0.106   
258 0.066   0   0.115   
301 0.061   0.000   0.123   
344 0.055   0   0.130   
387 0.051   0.001   0.134   
430 0.048   0   0.140   
473 0.044   0.000   0.144   
516 0.042   0.000   0.148   
559 0.039   0   0.151   
602 0.037   0.001   0.153   
645 0.035   0   0.156   
688 0.033   0.000   0.158   
731 0.032   0.000   0.160   
774 0.030   0.001   0.162   
817 0.028   0.001   0.164   
2000    0.013   0   0.184
