Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.203   0.000   0   
43  0.124   0.001   0.036   
86  0.104   0.001   0.063   
129 0.089   0   0.083   
172 0.079   0   0.099   
215 0.069   0.001   0.110   
258 0.063   0.000   0.118   
301 0.056   0   0.126   
344 0.052   0   0.133   
387 0.049   0   0.139   
430 0.045   0.000   0.142   
473 0.042   0   0.147   
516 0.039   0   0.149   
559 0.036   0.000   0.152   
602 0.034   0   0.156   
645 0.032   0   0.158   
688 0.031   0   0.160   
731 0.030   0.000   0.162   
774 0.029   0.001   0.164   
817 0.027   0   0.166   
2000    0.012   0   0.186
