Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.200   0   0   
8   0.156   0   0.004   
16  0.144   0   0.012   
24  0.136   0   0.019   
32  0.131   0   0.025   
40  0.126   0   0.032   
48  0.122   0   0.038   
56  0.118   0.000   0.044   
64  0.114   0.000   0.048   
72  0.109   0   0.053   
80  0.106   0   0.058   
88  0.102   0.000   0.062   
96  0.101   0.001   0.066   
104 0.098   0.000   0.070   
112 0.094   0   0.073   
120 0.093   0.000   0.077   
128 0.091   0.000   0.080   
136 0.088   0.000   0.084   
144 0.085   0   0.085   
152 0.083   0   0.089   
500 0.040   0.000   0.145
