Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.2 298.2
0   0.198   0   0.000   
5   0.164   0.004   0.003   
10  0.146   0.014   0.005   
15  0.134   0.023   0.009   
20  0.124   0.033   0.011   
25  0.115   0.041   0.014   
30  0.107   0.049   0.017   
35  0.101   0.056   0.018   
40  0.095   0.063   0.019   
45  0.089   0.069   0.020   
50  0.084   0.074   0.021   
55  0.080   0.079   0.023   
60  0.075   0.084   0.023   
65  0.070   0.088   0.025   
70  0.068   0.092   0.025   
75  0.063   0.097   0.025   
80  0.061   0.100   0.026   
85  0.057   0.103   0.026   
90  0.055   0.106   0.028   
95  0.053   0.109   0.028   
100 0.050   0.111   0.028
