Time	A	D	U	C	T (K)
Initial Settings	0.64516129	0	0	0.032258065	298.2
0	0.646	0	0		
10	0.41	0.013	0.087		
20	0.347	0.025	0.157		
30	0.3	0.036	0.21		
40	0.264	0.046	0.248		
50	0.234	0.054	0.28		
60	0.211	0.061	0.304		
70	0.191	0.067	0.324		
80	0.174	0.073	0.34		
90	0.16	0.079	0.355		
100	0.148	0.083	0.366		
110	0.136	0.088	0.376		
120	0.127	0.093	0.384		
130	0.119	0.097	0.392		
140	0.111	0.101	0.397		
150	0.105	0.104	0.404		
160	0.098	0.108	0.408		
170	0.093	0.111	0.413		
180	0.088	0.113	0.416		
190	0.083	0.115	0.42		
2000	0.004	0.183	0.46		
