Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.202   0.000   0.001   
1   0.193   0   0   
2   0.186   0   0.002   
3   0.180   0   0.001   
4   0.174   0   0.002   
5   0.168   0   0.002   
6   0.164   0   0.003   
7   0.161   0   0.004   
8   0.157   0   0.005   
9   0.154   0.001   0.006   
10  0.153   0.000   0.007   
11  0.150   0.000   0.008   
12  0.149   0.001   0.008   
13  0.147   0   0.009   
14  0.146   0   0.010   
15  0.145   0   0.012   
16  0.144   0   0.013   
17  0.143   0   0.014   
18  0.142   0   0.016   
19  0.141   0   0.016   
500 0.040   0   0.147
