Time	A	D	U	C	T (K)
Initial Settings	0.2	0	0	0.2	298.2
0	0.2	0	0		
5	0.167	0.005	0.002		
10	0.148	0.014	0.006		
15	0.135	0.024	0.008		
20	0.126	0.033	0.011		
25	0.117	0.04	0.014		
30	0.108	0.049	0.017		
35	0.102	0.057	0.017		
40	0.096	0.064	0.02		
45	0.089	0.069	0.021		
50	0.085	0.075	0.022		
55	0.08	0.081	0.023		
60	0.075	0.085	0.024		
65	0.071	0.09	0.025		
70	0.067	0.094	0.025		
75	0.064	0.097	0.026		
80	0.06	0.102	0.027		
85	0.059	0.104	0.027		
90	0.056	0.107	0.028		
95	0.054	0.109	0.028		
100	0.051	0.112	0.028		
