Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.202   0   0.001   
5   0.171   0   0.001   
10  0.156   0.000   0.006   
15  0.148   0.000   0.011   
20  0.143   0   0.016   
25  0.139   0   0.020   
30  0.136   0   0.023   
35  0.133   0.000   0.028   
40  0.131   0   0.032   
45  0.127   0.000   0.035   
50  0.124   0.001   0.040   
55  0.123   0.000   0.043   
60  0.118   0   0.045   
65  0.117   0   0.048   
70  0.115   0   0.051   
75  0.112   0   0.055   
80  0.110   0.000   0.056   
85  0.109   0.000   0.060   
90  0.106   0   0.062   
95  0.104   0   0.065   
500 0.043   0   0.146
