Time	A	D	U	C	T (K)
Initial Settings	0.5	0	0	0.5	323.2
0	0.5	0	0.001		
10	0.114	0.238	0.082		
20	0.057	0.325	0.094		
30	0.035	0.359	0.096		
40	0.024	0.374	0.097		
50	0.019	0.381	0.097		
60	0.015	0.386	0.097		
70	0.013	0.388	0.098		
80	0.011	0.39	0.097		
90	0.009	0.392	0.097		
100	0.009	0.392	0.098		
110	0.008	0.395	0.097		
120	0.006	0.395	0.097		
130	0.006	0.395	0.097		
140	0.006	0.397	0.097		
150	0.006	0.397	0.098		
160	0.005	0.397	0.097		
170	0.005	0.397	0.098		
180	0.005	0.398	0.098		
190	0.004	0.398	0.097		
200	0.004	0.398	0.099		
