Time	A	D	U	C	T (K)
Initial Settings	0.2	0	0	0.2	298.2
0	0.204	0	0		
10	0.149	0.015	0.006		
20	0.125	0.035	0.012		
30	0.108	0.053	0.017		
40	0.093	0.068	0.021		
50	0.082	0.079	0.023		
60	0.073	0.09	0.025		
70	0.065	0.099	0.027		
80	0.059	0.106	0.028		
90	0.054	0.112	0.029		
100	0.049	0.117	0.029		
110	0.045	0.123	0.03		
120	0.041	0.126	0.031		
130	0.038	0.13	0.032		
140	0.036	0.132	0.03		
150	0.033	0.135	0.032		
160	0.03	0.137	0.031		
170	0.029	0.139	0.032		
180	0.027	0.141	0.031		
190	0.027	0.143	0.032		
200	0.025	0.145	0.031		
