Time	A	D	U	C	T (K)
Initial Settings	0.2	0	0	0	323.2
0	0.199	0.001	0		
10	0.092	0	0.028		
20	0.079	0	0.052		
30	0.07	0	0.069		
40	0.064	0	0.083		
50	0.057	0	0.094		
60	0.051	0.001	0.104		
70	0.047	0	0.11		
80	0.044	0	0.118		
90	0.041	0	0.123		
100	0.038	0	0.128		
110	0.036	0	0.133		
120	0.034	0	0.136		
130	0.032	0	0.14		
140	0.03	0	0.143		
150	0.028	0	0.146		
160	0.027	0	0.149		
170	0.026	0.001	0.151		
180	0.026	0	0.152		
190	0.024	0	0.154		
200	0.023	0	0.155		
