Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 278.2
0   0.200   0.000   0   
1   0.199   0.000   0   
2   0.197   0   0   
3   0.196   0.001   0.001   
4   0.194   0   0.001   
5   0.193   0.001   0.000   
6   0.191   0.001   0.000   
7   0.190   0   0.001   
8   0.190   0.000   0   
9   0.188   0.000   0.001   
10  0.187   0   0.001   
11  0.186   0   0.001   
12  0.185   0.001   0.001   
13  0.183   0   0.001   
14  0.183   0   0.002   
15  0.182   0   0.002   
16  0.181   0   0.002   
17  0.180   0   0.002   
18  0.179   0   0.003   
19  0.179   0   0.003   
500 0.106   0   0.081
