Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.0 298.2
0   0.201   0   0   
2   0.186   0   0   
4   0.173   0.000   0.001   
6   0.165   0   0.003   
8   0.158   0.000   0.005   
10  0.153   0   0.007   
12  0.150   0.001   0.008   
14  0.148   0   0.010   
16  0.143   0.001   0.012   
18  0.143   0   0.013   
20  0.140   0.000   0.016   
22  0.140   0.000   0.017   
24  0.137   0.000   0.018   
26  0.136   0.000   0.020   
28  0.136   0   0.022   
30  0.134   0.000   0.024   
32  0.133   0   0.025   
34  0.131   0   0.028   
36  0.130   0   0.029   
38  0.128   0.000   0.030   
500 0.042   0.000   0.146
