Time	A	D	U	C	T (K)
Initial Settings	0.2	0	0	0	348.2
0	0.198	0	0.001		
1	0.095	0	0.006		
2	0.073	0	0.012		
3	0.067	0	0.018		
4	0.064	0.001	0.023		
5	0.062	0	0.028		
6	0.06	0	0.033		
7	0.058	0	0.037		
8	0.057	0	0.04		
9	0.054	0	0.046		
10	0.054	0	0.05		
11	0.053	0	0.054		
12	0.051	0	0.056		
13	0.049	0	0.06		
14	0.05	0	0.063		
15	0.049	0	0.066		
16	0.047	0	0.069		
17	0.046	0	0.072		
18	0.045	0	0.075		
19	0.044	0	0.077		
20	0.043	0.001	0.079		
