Time    A   D   U   C   T (K)
Initial Settings    0.02    0   0   0.2 298.2
0   0.020   0.000   0.001   
43  0.018   0.002   0   
86  0.015   0.005   0.000   
129 0.013   0.007   0.001   
172 0.011   0.007   0.000   
215 0.011   0.009   0.001   
258 0.009   0.011   0   
301 0.009   0.011   0.000   
344 0.008   0.012   0.000   
387 0.008   0.011   0   
430 0.007   0.013   0   
473 0.007   0.013   0   
516 0.007   0.014   0.000   
559 0.006   0.014   0   
602 0.005   0.013   0.001   
645 0.005   0.015   0   
688 0.005   0.014   0.001   
731 0.006   0.016   0   
774 0.004   0.015   0.000   
817 0.005   0.015   0.001   
2000    0.003   0.018   0
