Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.2 298.2
0   0.198   0.000   0   
43  0.083   0.073   0.021   
86  0.051   0.111   0.028   
129 0.035   0.129   0.030   
172 0.025   0.139   0.030   
215 0.021   0.145   0.031   
258 0.016   0.150   0.031   
301 0.014   0.152   0.031   
344 0.013   0.153   0.032   
387 0.011   0.156   0.032   
430 0.010   0.156   0.032   
473 0.009   0.158   0.032   
516 0.008   0.158   0.032   
559 0.008   0.159   0.032   
602 0.007   0.160   0.032   
645 0.006   0.160   0.032   
688 0.006   0.161   0.032   
731 0.006   0.162   0.032   
774 0.005   0.161   0.031   
817 0.005   0.161   0.031   
2000    0.002   0.165   0.032
