Time    A   D   U   C   T (K)
Initial Settings    0.1 0   0   0.1 298.2
0   0.102   0   0.000   
43  0.063   0.019   0.007   
86  0.046   0.035   0.011   
129 0.036   0.047   0.013   
172 0.029   0.054   0.013   
215 0.024   0.060   0.014   
258 0.020   0.064   0.015   
301 0.017   0.067   0.015   
344 0.016   0.070   0.015   
387 0.013   0.072   0.015   
430 0.011   0.072   0.016   
473 0.011   0.075   0.015   
516 0.010   0.075   0.015   
559 0.009   0.075   0.016   
602 0.008   0.076   0.016   
645 0.008   0.077   0.015   
688 0.007   0.078   0.015   
731 0.007   0.079   0.016   
774 0.006   0.079   0.017   
817 0.006   0.079   0.015   
2000    0.002   0.082   0.016
