Time    A   D   U   C   T (K)
Initial Settings    0.2 0   0   0.2 298.2
0   0.201   0   0   
7   0.156   0.009   0.004   
14  0.134   0.023   0.009   
21  0.121   0.037   0.013   
28  0.108   0.050   0.017   
35  0.098   0.061   0.018   
42  0.090   0.070   0.021   
49  0.082   0.079   0.023   
56  0.075   0.085   0.025   
63  0.070   0.092   0.026   
70  0.063   0.097   0.027   
77  0.059   0.103   0.027   
84  0.055   0.108   0.027   
91  0.052   0.113   0.029   
98  0.047   0.116   0.029   
105 0.045   0.119   0.029   
112 0.043   0.122   0.029   
119 0.041   0.125   0.030   
126 0.038   0.127   0.030   
133 0.036   0.129   0.032   
140 0.034   0.131   0.031
